N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"56,400",300,+0.53%,100,"3,366,957","5,969,783",55.98,"13,782,160",17.65,8.69,
2,SK하이닉스,"77,000","1,500",+1.99%,"5,000","560,562","728,002",47.22,"3,406,247",24.52,4.25,
3,삼성바이오로직스,"815,000","5,000",-0.61%,"2,500","539,245","66,165",10.34,"103,485",157.00,4.77,
4,NAVER,"325,000","5,000",+1.56%,100,"533,856","164,263",55.44,"894,129",75.76,10.56,
5,LG화학,"713,000","11,000",+1.57%,"5,000","503,323","70,592",36.31,"445,880",398.77,1.84,
6,셀트리온,"306,500","3,500",-1.13%,"1,000","413,756","134,994",21.62,"593,353",103.37,11.19,
7,삼성전자우,"48,750",150,+0.31%,100,"401,157","822,887",88.08,"1,290,559",15.25,N/A,
8,현대차,"166,000","4,500",+2.79%,"5,000","354,689","213,668",32.19,"3,280,847",17.59,4.32,
9,카카오,"381,000","1,000",+0.26%,500,"335,333","88,014",32.33,"880,508",-128.63,-5.81,
10,삼성SDI,"444,000","6,000",+1.37%,"5,000","305,315","68,765",41.53,"408,814",163.12,2.94,
11,LG생활건강,"1,539,000","4,000",-0.26%,"5,000","240,364","15,618",45.28,"19,879",35.10,20.32,
12,삼성물산,"118,000","1,000",+0.85%,100,"220,527","186,887",14.51,"587,291",20.62,4.77,
13,현대모비스,"219,500","2,500",+1.15%,"5,000","208,645","95,055",44.04,"376,440",11.96,7.28,
14,SK텔레콤,"247,500","5,500",+2.27%,500,"199,846","80,746",34.95,"630,434",20.31,3.92,
15,엔씨소프트,"826,000","15,000",-1.78%,500,"181,340","21,954",49.90,"100,838",34.79,14.72,
16,POSCO,"200,500","1,500",+0.75%,"5,000","174,810","87,187",52.73,"222,856",19.06,4.18,
17,기아차,"43,000","1,450",+3.49%,"5,000","174,306","405,363",39.08,"2,743,722",16.37,6.50,
18,KB금융,"37,950","1,000",+2.71%,"5,000","157,799","415,808",65.56,"1,568,165",4.96,8.92,
19,SK,"222,000","10,000",+4.72%,200,"156,200","70,360",22.47,"235,997",-427.75,4.31,
20,LG,"87,800","2,400",+2.81%,"5,000","151,505","172,557",34.86,"275,411",18.74,5.87,
21,SK이노베이션,"163,500","11,000",+7.21%,"5,000","151,181","92,466",23.96,"1,591,620",-6.70,-0.20,
22,신한지주,"31,400",700,+2.28%,"5,000","149,903","477,397",63.09,"1,374,104",4.52,9.09,
23,LG전자,"90,300",300,-0.33%,"5,000","147,774","163,648",34.48,"1,158,358",36.24,0.22,
24,한국전력,"21,000","1,050",+5.26%,"5,000","134,812","641,964",17.75,"6,821,610",-14.63,-3.42,
25,SK바이오팜,"172,000","4,000",+2.38%,500,"134,699","78,313",2.15,"243,039",-156.36,-313.66,
26,넷마블,"151,000","1,000",-0.66%,100,"129,568","85,807",22.86,"316,043",75.88,3.54,
27,삼성에스디에스,"161,500","2,000",+1.25%,500,"124,965","77,378",12.61,"134,190",23.98,11.76,
28,삼성생명,"61,300","1,200",+2.00%,500,"122,600","200,000",12.29,"966,249",16.13,3.26,
29,KT&G,"85,400",300,+0.35%,"5,000","117,248","137,292",42.75,"335,460",11.42,12.39,
30,아모레퍼시픽,"178,000","2,000",+1.14%,500,"104,056","58,458",31.21,"277,157",89.49,5.36,
31,삼성전기,"130,500","1,500",+1.16%,"5,000","97,475","74,694",33.25,"387,769",40.17,10.18,
32,하나금융지주,"29,350",900,+3.16%,"5,000","88,121","300,242",64.71,"1,152,254",3.52,8.77,
33,삼성화재,"184,500","6,000",+3.36%,500,"87,407","47,375",46.77,"130,182",15.82,4.85,
34,고려아연,"410,000","6,500",+1.61%,"5,000","77,367","18,870",24.25,"33,848",12.49,9.76,
35,한온시스템,"13,050",150,+1.16%,100,"69,661","533,800",20.89,"2,075,749",41.83,14.98,
36,S-Oil,"59,700","1,800",+3.11%,"2,500","67,212","112,583",74.69,"437,381",-8.21,1.01,
37,한국조선해양,"90,500","3,000",+3.43%,"5,000","64,050","70,773",16.74,"509,638",60.86,1.40,
38,코웨이,"86,500","2,400",+2.85%,500,"63,837","73,800",60.33,"161,382",18.18,30.74,
39,우리금융지주,"8,810",130,+1.50%,"5,000","63,632","722,268",26.47,"1,497,951",3.40,N/A,
40,KT,"24,300",400,+1.67%,"5,000","63,450","261,112",45.34,"1,015,867",10.59,4.61,
41,CJ제일제당,"416,500","10,500",+2.59%,"5,000","62,701","15,054",22.15,"82,160",10.49,3.16,
42,미래에셋대우,"9,690",370,+3.97%,"5,000","62,531","645,316",13.34,"5,099,682",13.13,7.56,
43,기업은행,"8,420",140,+1.69%,"5,000","62,196","738,664",11.90,"1,389,781",3.66,7.36,
44,신풍제약,"114,000","13,500",+13.43%,500,"60,403","52,985",3.23,"8,225,307","3,454.55",0.80,
45,롯데케미칼,"175,500","4,500",+2.63%,"5,000","60,153","34,275",29.15,"175,768",33.49,5.51,
46,오리온,"147,500","2,500",-1.67%,500,"58,316","39,536",44.34,"64,128",22.01,14.24,
47,KODEX 200,"31,360",405,+1.31%,0,"56,636","180,600",9.93,"5,533,929",N/A,N/A,
48,한화솔루션,"35,350","3,650",+11.51%,"5,000","56,512","159,864",20.37,"8,394,648",-34.12,-4.02,
49,포스코케미칼,"90,700",400,+0.44%,500,"55,316","60,988",7.75,"432,354",106.96,11.57,
50,LG디스플레이,"15,150",50,+0.33%,"5,000","54,209","357,816",21.55,"6,702,100",-1.86,-22.35,
